ride_id,rideable_type,started_at,ended_at,start_name,start_station_id,end_name,end_station_id,start_latitude,start_longitude,end_latitude,end_longitude,member_casual,trip_length,start_day,end_day
731E94DDB09146D7,classic_bike,2024-07-06 23:01:40.378,2024-07-06 23:10:05.521,Delancey St & Eldridge St,5414.07,E 11 St & Ave B,5659.11,40.719383,-73.991479,40.72746420692392,-73.97950418293476,member,8.41905,Saturday,Saturday
118A37C701DF738B,classic_bike,2024-07-10 15:50:09.549,2024-07-10 15:54:40.097,Bushwick Ave & Dekalb Ave,4680.05,Central Ave & Himrod St,4713.01,40.69502,-73.92825,40.69676,-73.92302,member,4.509133333333334,Wednesday,Wednesday
ACCD3F8B514760AF,classic_bike,2024-07-08 18:16:56.822,2024-07-08 18:40:39.821,Broadway & W 131 St,7865.09,2 Ave & E 99 St,7386.1,40.817555,-73.957163,40.7862586,-73.94552579,member,23.71665,Monday,Monday
318AFE5BE7B3193C,classic_bike,2024-07-04 19:31:09.953,2024-07-04 20:13:48.982,E 35 St & Madison Ave,6398.08,Hope St & Union Ave,5187.03,40.74848023448579,-73.98255586624146,40.71167351,-73.95141312,member,42.650483333333334,Thursday,Thursday
0BB2BD28B73A352E,electric_bike,2024-07-12 10:37:57.566,2024-07-12 10:49:04.483,King St & Varick St,5687.11,Bus Slip & State St,4889.06,40.727612019,-74.005201578,40.701907,-74.013942,casual,11.115283333333334,Friday,Friday
7586750F223A8320,classic_bike,2024-07-11 18:02:27.466,2024-07-11 18:10:37.872,1 Ave & E 118 St,7596.11,2 Ave & E 96 St,7338.02,40.797459,-73.934499,40.7839636,-73.9471673,member,8.173433333333334,Thursday,Thursday
AA819DE09F8EAEB7,classic_bike,2024-07-04 13:30:48.650,2024-07-04 13:35:40.178,Fulton St & Broadway,5175.08,Church St & Worth St,5359.13,40.711066,-74.009447,40.71688538495366,-74.00650128722191,casual,4.8588000000000005,Thursday,Thursday
503EF0C5C8F1A3AA,electric_bike,2024-07-13 20:18:16.386,2024-07-13 20:31:43.930,31 Ave & 34 St,6819.15,9 St & 44 Rd,6361.03,40.763154,-73.920827,40.74966,-73.9521,member,13.459066666666667,Saturday,Saturday
3347E12212083235,electric_bike,2024-07-12 16:25:51.405,2024-07-12 16:32:10.448,St Marks Pl & 1 Ave,5626.13,Pike St & E Broadway,5270.05,40.72779126,-73.98564945,40.71406667,-73.99293911,member,6.317383333333334,Friday,Friday
C1F1FBFE2F3EFBF7,electric_bike,2024-07-06 21:49:23.215,2024-07-07 07:01:41.972,Cauldwell Ave & E 161 St,7952.02,unknown,unknown,40.821756244,-73.907540441,40.82,-73.92,casual,552.3126166666666,Saturday,Sunday
6FCF250F87B0F967,classic_bike,2024-07-07 12:21:40.831,2024-07-07 12:27:17.063,W 84 St & Columbus Ave,7382.04,West End Ave & W 94 St,7524.09,40.78499979,-73.97283406,40.7941654,-73.974124,member,5.603866666666667,Sunday,Sunday
AF5B1D51316920B7,classic_bike,2024-07-10 13:37:20.260,2024-07-10 14:48:27.529,Leonard St & Nassau Ave,5550.09,Devoe St & Lorimer St,5259.06,40.7239567849954,-73.94984364509583,40.71335226222875,-73.9491033554077,member,71.12115,Wednesday,Wednesday
47FCF9168353DBDF,electric_bike,2024-07-06 02:25:59.350,2024-07-06 03:43:41.586,Bond St & Bergen St,4404.10,unknown,unknown,40.684863329,-73.986212611,40.71,-74.0,casual,77.70393333333332,Saturday,Saturday
